Sample,X(ms) [03.01.2012 22:56:23 658 UTC],"Temperatura"[%MD9]
16,1325631369458.295260,23.8105411529541
17,1325631369508.290940,23.8105411529541
18,1325631369558.278340,23.7861251831055
19,1325631369608.296060,23.8105411529541
20,1325631369658.331360,23.8349552154541
21,1325631369708.277460,23.8105411529541
22,1325631369758.287260,23.8105411529541
23,1325631369808.289960,23.8105411529541
24,1325631369858.281980,23.8105411529541
25,1325631369908.291940,23.8105411529541
26,1325631369958.273720,23.8105411529541
27,1325631370008.274720,23.8105411529541
28,1325631370058.287020,23.8349552154541
29,1325631370108.275700,23.8105411529541
30,1325631370158.281740,23.8105411529541
31,1325631370208.284020,23.8105411529541
32,1325631370258.274260,23.8349552154541
33,1325631370308.285940,23.8105411529541
34,1325631370358.287580,23.8349552154541
35,1325631370408.272420,23.8105411529541
36,1325631370458.314140,23.8349552154541
37,1325631370508.272480,23.8349552154541
38,1325631370558.279340,23.8349552154541
39,1325631370608.280080,23.8349552154541
40,1325631370658.279740,23.8349552154541
41,1325631370708.278360,23.8105411529541
42,1325631370758.279600,23.8349552154541
43,1325631370808.280940,23.8349552154541
44,1325631370858.276940,23.8349552154541
45,1325631370908.273540,23.8349552154541
46,1325631370958.299560,23.8105411529541
47,1325631371008.300420,23.8593711853027
48,1325631371058.275800,23.8349552154541
49,1325631371108.368180,23.8349552154541
50,1325631371158.283740,23.8349552154541
51,1325631371208.278060,23.8105411529541
52,1325631371258.284420,23.8593711853027
53,1325631371308.280160,23.8349552154541
54,1325631371358.298400,23.8349552154541
55,1325631371408.314860,23.8593711853027
56,1325631371458.296320,23.8593711853027
57,1325631371508.282680,23.8593711853027
58,1325631371558.282900,23.8593711853027
59,1325631371608.282480,23.8593711853027
60,1325631371658.271740,23.8349552154541
61,1325631371708.277800,23.8349552154541
62,1325631371758.308760,23.8349552154541
63,1325631371808.288140,23.8593711853027
64,1325631371858.293400,23.8593711853027
65,1325631371908.280600,23.8593711853027
66,1325631371958.297880,23.8349552154541
67,1325631372008.284720,23.8837852478027
68,1325631372058.282880,23.8349552154541
69,1325631372108.273940,23.8349552154541
70,1325631372158.277420,23.8349552154541
71,1325631372208.290740,23.8593711853027
72,1325631372258.294860,23.8593711853027
73,1325631372308.287100,23.8593711853027
74,1325631372358.304200,23.8349552154541
75,1325631372408.274600,23.8593711853027
76,1325631372458.273980,23.8593711853027
77,1325631372508.285580,23.8837852478027
78,1325631372558.271020,23.8593711853027
79,1325631372608.295340,23.8349552154541
80,1325631372658.295240,23.8593711853027
81,1325631372708.285000,23.8593711853027
82,1325631372758.279180,23.8837852478027
83,1325631372808.284160,23.8837852478027
84,1325631372858.277180,23.8593711853027
85,1325631372908.278020,23.8593711853027
86,1325631372958.267300,23.8593711853027
87,1325631373008.278020,23.8593711853027
88,1325631373058.281420,23.8837852478027
89,1325631373108.327320,23.8837852478027
90,1325631373158.280680,23.8349552154541
91,1325631373208.281940,23.8837852478027
92,1325631373258.273540,23.8837852478027
93,1325631373308.283480,23.8837852478027
94,1325631373358.275520,23.8593711853027
95,1325631373408.280120,23.8593711853027
96,1325631373458.296840,23.8837852478027
97,1325631373508.290040,23.8837852478027
98,1325631373558.285540,23.8593711853027
99,1325631373608.276080,23.8593711853027
100,1325631373658.341520,23.8837852478027
101,1325631373708.286260,23.8837852478027
102,1325631373758.265760,23.8837852478027
103,1325631373808.296140,23.8593711853027
104,1325631373858.274740,23.9082012176514
105,1325631373908.287500,23.8837852478027
106,1325631373958.281440,23.9082012176514
107,1325631374008.271020,23.8837852478027
108,1325631374058.273060,23.9082012176514
109,1325631374108.281380,23.8593711853027
110,1325631374158.276700,23.8837852478027
111,1325631374208.276520,23.8837852478027
112,1325631374258.332760,23.9082012176514
113,1325631374308.295660,23.8837852478027
114,1325631374358.280260,23.8837852478027
115,1325631374408.277940,23.8837852478027
116,1325631374458.282260,23.9082012176514
117,1325631374508.295940,23.8837852478027
118,1325631374558.294960,23.8837852478027
119,1325631374608.280720,23.8837852478027
